Année,Autres,Crimes Sexuels,Crimes Violents,Crimes contre la Santé Publique,Destructions et Atteintes aux Biens et à l'Ordre Public,Extorsion et Chantage,Fraudes et Falsifications,Violations de la Propriété,code
2014.0,2023.0,307.0,1222.0,978.0,1023.0,566.0,2073.0,10817.0,1.0
2014.0,1638.0,244.0,1114.0,669.0,864.0,489.0,1217.0,6541.0,2.0
2014.0,652.0,108.0,307.0,502.0,219.0,154.0,670.0,2433.0,3.0
2014.0,564.0,52.0,350.0,443.0,331.0,179.0,584.0,3061.0,4.0
2014.0,353.0,50.0,173.0,492.0,148.0,107.0,422.0,1913.0,5.0
2014.0,1748.0,181.0,897.0,1206.0,529.0,427.0,1771.0,8911.0,6.0
2014.0,1205.0,181.0,548.0,482.0,502.0,271.0,858.0,4739.0,7.0
2014.0,843.0,140.0,542.0,433.0,501.0,242.0,576.0,2780.0,8.0
2014.0,513.0,82.0,303.0,225.0,342.0,106.0,625.0,2470.0,9.0
2014.0,920.0,125.0,520.0,344.0,626.0,292.0,663.0,4053.0,10.0
2014.0,968.0,146.0,628.0,630.0,369.0,277.0,827.0,5885.0,11.0
2014.0,509.0,86.0,279.0,233.0,188.0,151.0,728.0,2050.0,12.0
2014.0,2066.0,243.0,1244.0,1311.0,887.0,680.0,2218.0,17798.0,13.0
2014.0,1199.0,254.0,665.0,492.0,662.0,262.0,958.0,5648.0,14.0
2014.0,330.0,58.0,172.0,134.0,141.0,84.0,300.0,897.0,15.0
2014.0,826.0,164.0,401.0,342.0,378.0,229.0,934.0,4150.0,16.0
2014.0,1643.0,295.0,945.0,800.0,864.0,394.0,1915.0,9965.0,17.0
2014.0,708.0,112.0,400.0,232.0,411.0,190.0,619.0,3336.0,18.0
2014.0,456.0,106.0,295.0,288.0,186.0,105.0,596.0,2059.0,19.0
2014.0,1048.0,152.0,572.0,574.0,416.0,294.0,1093.0,4925.0,21.0
2014.0,1508.0,282.0,994.0,637.0,952.0,427.0,1899.0,7562.0,22.0
2014.0,288.0,44.0,151.0,130.0,97.0,55.0,325.0,1073.0,23.0
2014.0,1135.0,233.0,511.0,478.0,362.0,270.0,1311.0,4328.0,24.0
2014.0,1205.0,195.0,703.0,327.0,731.0,376.0,1215.0,5735.0,25.0
2014.0,1298.0,179.0,745.0,483.0,651.0,360.0,1302.0,8634.0,26.0
2014.0,1317.0,230.0,1035.0,977.0,604.0,300.0,1067.0,7957.0,27.0
2014.0,1028.0,156.0,669.0,315.0,433.0,289.0,839.0,5286.0,28.0
