Année,Autres,Crimes Sexuels,Crimes Violents,Crimes contre la Santé Publique,Destructions et Atteintes aux Biens et à l'Ordre Public,Extorsion et Chantage,Fraudes et Falsifications,Violations de la Propriété,code
2018.0,930.0,89.0,441.0,567.0,624.0,228.0,696.0,2302.0,1.0
2018.0,1528.0,243.0,1241.0,902.0,1272.0,382.0,1296.0,5283.0,2.0
2018.0,930.0,125.0,833.0,595.0,832.0,331.0,1000.0,3307.0,3.0
2018.0,351.0,43.0,281.0,142.0,263.0,187.0,237.0,1255.0,4.0
2018.0,432.0,49.0,331.0,203.0,127.0,118.0,438.0,1221.0,5.0
2018.0,6715.0,627.0,5612.0,2849.0,3721.0,2202.0,5439.0,29317.0,6.0
2018.0,248.0,36.0,209.0,227.0,319.0,73.0,219.0,1304.0,7.0
2018.0,740.0,93.0,609.0,358.0,517.0,340.0,574.0,1918.0,8.0
2018.0,272.0,20.0,208.0,71.0,149.0,112.0,195.0,844.0,9.0
2018.0,1108.0,174.0,1012.0,514.0,537.0,425.0,1081.0,3521.0,10.0
2018.0,867.0,133.0,833.0,330.0,729.0,352.0,824.0,3928.0,11.0
2018.0,443.0,70.0,283.0,342.0,288.0,134.0,431.0,1545.0,12.0
2018.0,12890.0,1566.0,13978.0,5566.0,8549.0,5967.0,12730.0,68551.0,13.0
2018.0,2048.0,367.0,1764.0,1031.0,1611.0,703.0,2193.0,8030.0,14.0
2018.0,207.0,31.0,143.0,92.0,226.0,76.0,255.0,765.0,15.0
2018.0,882.0,143.0,857.0,502.0,919.0,390.0,815.0,3511.0,16.0
2018.0,1092.0,249.0,1154.0,1039.0,1638.0,367.0,1319.0,6655.0,17.0
2018.0,680.0,119.0,625.0,232.0,771.0,251.0,904.0,2784.0,18.0
2018.0,543.0,75.0,450.0,420.0,352.0,234.0,548.0,1813.0,19.0
2018.0,1602.0,262.0,1285.0,799.0,1468.0,478.0,1895.0,5573.0,21.0
2018.0,706.0,108.0,604.0,393.0,518.0,198.0,824.0,3086.0,22.0
2018.0,92.0,15.0,80.0,42.0,72.0,46.0,90.0,387.0,23.0
2018.0,512.0,98.0,551.0,244.0,838.0,183.0,678.0,2538.0,24.0
2018.0,1991.0,267.0,2024.0,1081.0,1651.0,1017.0,1919.0,5627.0,25.0
2018.0,1447.0,224.0,1317.0,1078.0,1178.0,533.0,1203.0,5924.0,26.0
2018.0,1221.0,162.0,983.0,709.0,476.0,322.0,1005.0,3300.0,27.0
2018.0,1068.0,168.0,828.0,684.0,1034.0,406.0,980.0,2779.0,28.0
2018.0,1823.0,315.0,1803.0,1031.0,2559.0,592.0,1909.0,7241.0,29.0
2018.0,1907.0,217.0,1689.0,724.0,1800.0,718.0,1759.0,8802.0,30.0
2018.0,5075.0,734.0,5071.0,3027.0,4247.0,1916.0,5630.0,31076.0,31.0
2018.0,158.0,32.0,167.0,69.0,103.0,65.0,133.0,631.0,32.0
2018.0,4354.0,792.0,4940.0,2142.0,5387.0,1495.0,5367.0,32267.0,33.0
