code,population
01,647634
02,533316
03,337171
04,164068
05,140698
06,1086219
07,326606
08,271845
09,153066
10,310020
11,372806
12,279274
13,2034357
14,694056
15,144765
16,351778
17,646932
18,303408
19,240583
2A,157853
2B,180701
21,533220
22,599584
23,117503
24,413418
25,541454
26,514732
27,599962
28,431997
29,911735
30,745458
31,1380672
32,191283
33,1601845
34,1159220
35,1069228
36,220595
37,607760
38,1263563
39,259746
40,410355
41,330248
42,763441
43,227552
44,1412502
45,678845
46,173929
47,331970
48,76520
49,815883
50,495983
51,567462
52,174069
53,307084
54,733469
55,185355
56,754867
57,1043524
58,205828
59,2606234
60,827153
61,281593
62,1466743
63,659048
64,679810
65,229191
66,476357
67,1133552
68,764981
69,1859524
70,236018
71,552185
72,565963
73,433724
74,816699
75,2175601
76,1255883
77,1412516
78,1441398
79,374799
80,570662
81,388596
82,259124
83,1067697
84,559793
85,679991
86,437586
87,373199
88,366112
89,337504
90,141852
91,1296641
92,1619120
93,1632677
94,1396913
95,1238581
France métropolitaine ,64844037
