Année,Autres,Crimes Sexuels,Crimes Violents,Crimes contre la Santé Publique,Destructions et Atteintes aux Biens et à l'Ordre Public,Extorsion et Chantage,Fraudes et Falsifications,Violations de la Propriété,code
2021.0,3480.0,703.0,1579.0,686.0,1420.0,994.0,3683.0,9426.0,1.0
2021.0,2258.0,482.0,1219.0,435.0,910.0,601.0,1774.0,4452.0,2.0
2021.0,994.0,200.0,471.0,226.0,300.0,262.0,936.0,2153.0,3.0
2021.0,814.0,143.0,381.0,304.0,300.0,316.0,828.0,1891.0,4.0
2021.0,452.0,125.0,272.0,430.0,191.0,143.0,614.0,1000.0,5.0
2021.0,2792.0,350.0,1242.0,1314.0,680.0,902.0,3392.0,6023.0,6.0
2021.0,1981.0,293.0,748.0,759.0,556.0,413.0,1419.0,3789.0,7.0
2021.0,1417.0,259.0,735.0,254.0,593.0,483.0,972.0,2486.0,8.0
2021.0,816.0,160.0,449.0,182.0,320.0,242.0,748.0,1562.0,9.0
2021.0,1366.0,281.0,639.0,209.0,470.0,415.0,1190.0,3087.0,10.0
2021.0,1268.0,317.0,916.0,456.0,565.0,417.0,1522.0,4180.0,11.0
2021.0,819.0,161.0,429.0,279.0,312.0,237.0,972.0,1664.0,12.0
2021.0,3516.0,447.0,1893.0,2172.0,1108.0,1088.0,4100.0,11891.0,13.0
2021.0,2348.0,629.0,1283.0,1055.0,710.0,603.0,2087.0,3794.0,14.0
2021.0,564.0,131.0,251.0,132.0,150.0,153.0,557.0,739.0,15.0
2021.0,1089.0,289.0,639.0,394.0,466.0,307.0,1548.0,2879.0,16.0
2021.0,2432.0,594.0,1368.0,886.0,953.0,606.0,2573.0,6930.0,17.0
2021.0,859.0,163.0,510.0,248.0,349.0,296.0,978.0,2320.0,18.0
2021.0,852.0,185.0,426.0,251.0,228.0,214.0,896.0,1450.0,19.0
2021.0,1532.0,317.0,798.0,494.0,570.0,423.0,1879.0,3793.0,21.0
2021.0,2505.0,548.0,1317.0,689.0,1038.0,678.0,2343.0,5244.0,22.0
2021.0,548.0,135.0,336.0,99.0,241.0,182.0,685.0,859.0,23.0
2021.0,1315.0,344.0,723.0,266.0,423.0,377.0,1917.0,3579.0,24.0
2021.0,1790.0,381.0,894.0,548.0,638.0,558.0,2221.0,3172.0,25.0
2021.0,1867.0,359.0,994.0,881.0,759.0,588.0,1859.0,5543.0,26.0
2021.0,4427.0,691.0,1566.0,594.0,749.0,725.0,2313.0,5850.0,27.0
2021.0,1729.0,398.0,959.0,417.0,496.0,464.0,1447.0,3289.0,28.0
2021.0,2688.0,656.0,1410.0,1203.0,1455.0,629.0,3150.0,6795.0,29.0
2021.0,2923.0,558.0,1757.0,1034.0,995.0,1050.0,3211.0,8852.0,30.0
2021.0,4716.0,866.0,2720.0,1098.0,2050.0,1338.0,6028.0,15888.0,31.0
2021.0,726.0,183.0,453.0,245.0,299.0,210.0,942.0,1864.0,32.0
2021.0,5048.0,1197.0,3344.0,1094.0,1962.0,1493.0,6316.0,17115.0,33.0
2021.0,4552.0,805.0,2584.0,2865.0,1881.0,1228.0,4937.0,15206.0,34.0
2021.0,3247.0,789.0,2019.0,1288.0,1339.0,828.0,3768.0,8709.0,35.0
2021.0,799.0,224.0,489.0,98.0,272.0,279.0,1079.0,1983.0,36.0
2021.0,1771.0,556.0,1046.0,344.0,871.0,503.0,2633.0,6368.0,37.0
2021.0,5656.0,953.0,3114.0,2318.0,2696.0,1686.0,5366.0,20076.0,38.0
2021.0,1106.0,252.0,660.0,421.0,440.0,362.0,1056.0,2216.0,39.0
2021.0,1621.0,399.0,1016.0,459.0,649.0,473.0,2155.0,4897.0,40.0
2021.0,1391.0,316.0,689.0,210.0,390.0,358.0,1108.0,2784.0,41.0
2021.0,1493.0,373.0,863.0,495.0,465.0,449.0,1897.0,4729.0,42.0
2021.0,1052.0,191.0,428.0,551.0,280.0,317.0,1112.0,1851.0,43.0
2021.0,3847.0,965.0,2374.0,1007.0,2151.0,1021.0,4857.0,19966.0,44.0
2021.0,3764.0,514.0,1132.0,488.0,566.0,694.0,2569.0,4692.0,45.0
2021.0,811.0,170.0,371.0,266.0,236.0,192.0,856.0,1588.0,46.0
