Année,Autres,Crimes Sexuels,Crimes Violents,Crimes contre la Santé Publique,Destructions et Atteintes aux Biens et à l'Ordre Public,Extorsion et Chantage,Fraudes et Falsifications,Violations de la Propriété,code
2013,1014,81,373,565,518,186,651,1853,1
2013,1326,182,1334,813,1258,449,1020,4962,2
2013,817,76,530,432,1357,264,933,3420,3
2013,200,31,181,150,168,88,275,1232,4
2013,371,34,200,214,280,55,360,1170,5
2013,5890,548,6891,3127,5336,1823,6597,36381,6
2013,239,32,210,202,250,72,252,1571,7
2013,477,46,554,412,887,237,367,2050,8
2013,192,26,130,226,161,42,205,830,9
2013,779,77,816,341,783,322,781,3715,10
2013,773,138,793,521,1217,340,950,4834,11
2013,388,42,281,364,320,113,371,1472,12
2013,11342,753,16657,7577,10033,6035,12048,74292,13
2013,1656,218,1574,1123,3037,518,1699,8241,14
2013,104,31,94,60,279,21,107,728,15
2013,524,74,531,231,1562,177,796,3185,16
2013,1207,188,1067,917,2668,362,1503,7931,17
2013,472,66,520,143,997,185,532,3370,18
2013,363,46,411,129,518,161,508,2111,19
2013,1331,106,865,567,1993,467,1492,6438,21
2013,536,58,467,375,994,142,569,2302,22
2013,88,3,65,15,102,31,115,326,23
2013,398,42,299,251,604,113,467,2333,24
2013,1715,114,1129,691,2320,469,1548,6778,25
2013,1373,91,1331,781,1584,607,1295,7862,26
2013,1026,126,1101,675,923,303,1067,3789,27
2013,906,122,771,653,1045,258,859,3785,28
2013,1516,189,2063,703,3909,535,1729,7441,29
2013,1697,78,2210,682,2432,730,1798,9446,30
2013,3910,411,5031,2814,3928,1707,4672,29688,31
2013,147,23,108,36,164,47,156,984,32
2013,3517,719,4456,3080,6581,1377,4276,24036,33
2013,3244,327,5006,2236,3947,1428,3455,23561,34
2013,1661,217,1913,1006,3587,580,2391,9839,35
2013,293,37,293,202,457,112,341,1802,36
2013,970,115,1212,848,2065,347,1122,7575,37
2013,2272,220,2348,1015,3824,1080,2689,16209,38
2013,421,21,235,219,294,89,555,1487,39
2013,405,45,437,261,521,136,446,2017,40
2013,579,85,486,365,672,258,643,3180,41
2013,2188,248,2280,1191,4488,933,2372,12205,42
2013,229,44,189,93,302,86,170,905,43
2013,3566,460,3262,1788,6692,1184,2798,23802,44
2013,1950,257,1920,1382,1579,884,2261,8866,45
2013,114,4,147,47,142,44,193,858,46
2013,419,30,425,233,682,99,527,2024,47
2013,65,10,72,29,45,38,52,170,48
2013,1363,232,1245,875,2445,504,1625,8061,49
2013,747,154,565,493,1457,200,807,1783,50
2013,2055,277,2115,1259,4011,727,1713,8576,51
2013,430,46,364,243,220,147,339,1312,52
2013,528,105,346,183,348,144,386,1907,53
2013,3040,389,2329,1942,3180,779,2476,12371,54
2013,374,47,230,330,451,112,292,1403,55
2013,792,122,678,445,1674,266,778,4110,56
2013,3505,225,2685,1488,5156,1158,2923,9641,57
2013,282,12,176,171,362,70,239,985,58
2013,11384,1523,14699,9403,18195,4986,10194,65729,59
2013,1400,186,1460,792,1892,447,1197,5349,60
2013,454,56,357,312,825,176,454,1495,61
2013,6616,863,6883,2628,7610,2100,5146,21375,62
2013,1107,83,1293,457,2564,495,1893,8496,63
2013,2411,224,1239,1434,2331,481,1673,9159,64
2013,367,34,372,225,637,170,679,2236,65
2013,4421,113,1319,373,1032,527,1534,5353,66
2013,4314,258,2545,2115,3804,1495,3422,11784,67
2013,2340,115,1820,884,2784,888,1604,7387,68
2013,8456,1135,8447,6576,10282,3252,9277,49843,69
2013,228,34,239,154,250,106,187,1114,70
2013,851,150,807,695,1365,312,1038,3563,71
2013,1028,181,926,735,1325,394,1113,3988,72
2013,3039,69,921,494,1577,220,1423,3465,73
2013,1879,76,936,1155,1470,334,1038,5551,74
2013,17544,2791,25688,10768,16167,5666,28129,128500,75
2013,5423,701,5654,2417,8663,2215,4617,23093,76
2013,6072,540,6504,5450,6162,2165,5948,31620,77
2013,6281,588,6320,5959,9317,2233,8578,33462,78
2013,427,54,274,201,565,116,483,2030,79
2013,1908,171,1666,968,2053,631,1143,6536,80
2013,529,79,633,437,1195,221,554,3326,81
2013,380,47,369,156,377,149,650,2381,82
2013,3301,363,3402,3265,2661,1379,4103,17425,83
2013,1475,142,1651,647,2103,598,1655,8626,84
2013,536,76,349,381,800,123,441,2906,85
2013,1098,147,675,634,1525,290,1002,4537,86
2013,855,124,740,505,883,291,992,4952,87
2013,498,32,391,388,632,112,385,2094,88
2013,789,54,550,375,881,253,646,2701,89
2013,493,86,496,303,494,164,462,1922,90
2013,4781,471,5982,3642,5582,2006,4786,26933,91
2013,6324,655,9207,5562,11570,3000,12737,49253,92
2013,10972,896,22583,10745,16577,4529,9848,63361,93
2013,6090,557,9431,5283,8261,2629,7821,45006,94
2013,6777,544,8658,4615,8317,2901,6991,33229,95
2013,1259,125,1865,780,1020,1009,925,4449,971
2013,1040,126,2007,655,458,593,591,3957,972
2013,2966,72,1461,407,400,490,828,2668,973
2013,1242,243,2252,469,1745,974,1187,6573,974
2013,4801,21,611,40,455,84,510,2499,976
2013,403,117,487,541,182,55,272,1454,987
2013,651,87,919,334,1705,142,715,3978,988
2013,454,28,179,243,703,201,390,1295,2A
2013,352,18,219,131,316,146,279,1413,2B
